Employee Code,Total Working Days,Total Full Days,Half Days Due To Duration,Half Days Due To PunchMiss,Half Days Due To Lates,Total Half Days,Total Lates,Total Absent,Total Punch Missed,Total OT Days,Total Half OT Days,Total OT Hours
1420,22,11,0,0,0,0,0,5,1,6,0,0.00
1490,22,0,0,0,0,0,0,26,0,0,0,0.00
1532,22,11,4,1,0,5,0,0,2,7,0,0.00
1669,22,9,0,0,1,1,0,10,0,5,1,0.00
1687,22,9,0,0,1,1,3,3,0,6,1,0.00
1713,22,9,2,0,0,2,2,1,1,5,1,0.00
1721,22,11,1,0,0,1,0,1,0,6,0,0.00
1731,22,0,0,0,0,0,0,26,0,0,0,0.00
1739,22,11,1,0,0,1,1,0,0,7,0,0.00
1743,22,8,1,0,0,1,3,7,3,5,2,0.00
1747,22,0,0,0,0,0,0,26,0,0,0,0.00
1759,22,9,0,0,0,0,1,10,0,7,0,0.00
1760,22,10,0,0,0,0,1,2,0,7,0,0.00
1870,22,12,0,0,0,0,2,0,0,7,0,0.00
5123,22,12,0,0,0,0,1,1,0,6,0,0.00
